best_threshold: 0.86
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 80

minimized_false_positive_threshold: 0.05
false_positive_percentage: 0.0
false_negative_percentage: 0.9
number_of_tests_conducted: 80

equalized_false_positive_negative_threshold: 0.0
false_positive_percentage: 0.725
false_negative_percentage: 0.0
number_of_tests_conducted: 80

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
5.94E-6	0.0	0.075	0.9625
5.95E-6	0.0	0.075	0.9625
5.9600000000000005E-6	0.0	0.075	0.9625
5.9700000000000004E-6	0.0	0.075	0.9625
5.98E-6	0.0	0.075	0.9625
5.99E-6	0.0	0.075	0.9625
6.0E-6	0.0	0.075	0.9625
6.01E-6	0.0	0.075	0.9625
6.02E-6	0.0	0.075	0.9625
6.03E-6	0.0	0.075	0.9625
6.04E-6	0.0	0.075	0.9625
6.0500000000000005E-6	0.0	0.075	0.9625
6.0600000000000004E-6	0.0	0.075	0.9625
6.07E-6	0.0	0.075	0.9625
6.08E-6	0.0	0.075	0.9625
6.09E-6	0.0	0.075	0.9625
6.1E-6	0.0	0.075	0.9625
6.11E-6	0.0	0.075	0.9625
6.12E-6	0.0	0.075	0.9625
6.13E-6	0.0	0.075	0.9625
6.1400000000000005E-6	0.0	0.075	0.9625
6.15E-6	0.0	0.075	0.9625
6.16E-6	0.0	0.075	0.9625
6.17E-6	0.0	0.075	0.9625
6.18E-6	0.0	0.075	0.9625
6.19E-6	0.0	0.075	0.9625
6.2E-6	0.0	0.075	0.9625
6.21E-6	0.0	0.075	0.9625
6.22E-6	0.0	0.075	0.9625
6.2300000000000005E-6	0.0	0.075	0.9625
6.24E-6	0.0	0.075	0.9625
6.25E-6	0.0	0.075	0.9625
